Variant,CAP Code,Make,Model,Variant Full Description,Model Year,Doors,Fuel,Body,Seats,Gearbox,Gears,BHP,Eng CC,CO2,Com-bined MPG,Vehicle List Price,Vehicle List Price Including Metallic Paint,Vehicle Total Disc, Vehicle OTR Price,VRB,P11D Price,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,Electric Range,Battery Capacity,RDE2
100104,NILE00ACT5HE A  2,Nissan,Leaf,Nissan Leaf Electric Hatchback 110kW Acenta 39kWh 5Dr Auto [tech Pack],2022,5,Electric,Hatchback,5,Auto,1,150,1,0,0,24075,24075,2166.75,24611.5,1444.5,28890,24,10000,317.66,0,317.66,31.77,349.43,7.55,36,15000,276.84,0,276.85,27.68,304.53,7.55,168,39, 
100105,NILE00NCN5HE A  2,Nissan,Leaf,Nissan Leaf Electric Hatchback 110kW N-connecta 39kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,150,1,0,0,25366.67,25366.67,2283,25928.99,1522,30440,24,10000,348.18,0,348.18,34.82,383,7.55,36,15000,299.83,0,299.83,29.98,329.81,7.55,168,39, 
100106,NILE00TEK5HE A  2,Nissan,Leaf,Nissan Leaf Electric Hatchback 110kW Tekna 39kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,150,1,0,0,26616.67,26616.67,2395.5,25926.39,2661.67,31940,24,10000,325.49,0,325.49,32.55,358.04,7.55,36,15000,286.28,0,286.29,28.63,314.92,7.55,168,39, 
100107,NILE00ENA5HE A  2,Nissan,Leaf,Nissan Leaf Electric Hatchback 160kW e+ N-connecta 59kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,217,1,0,0,27825,27825,2504.25,29772.1,556.5,33390,24,10000,405.39,0,405.39,40.54,445.93,7.55,36,15000,347.54,0,347.55,34.75,382.3,7.55,239,59, 
100108,NILE00EPT5HE A  2,Nissan,Leaf,Nissan Leaf Electric Hatchback 160kW e+ Tekna 59kWh 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,217,1,0,0,29075,29075,2616.75,30409.3,1163,34890,24,10000,404.98,0,404.99,40.5,445.49,7.55,36,15000,349.38,0,349.38,34.94,384.32,7.55,239,59, 
100127,NILE00NPP5HE A  2,Nissan,Leaf,Nissan Leaf Electric Hatchback 110kW N-connecta 39kWh 5Dr Auto [propilot Pack],2022,5,Electric,Hatchback,5,Auto,1,150,1,0,0,25741.67,25741.67,2316.75,26311.49,1544.5,30890,24,10000,354.58,0,354.57,35.46,390.03,7.55,36,15000,304.79,0,304.79,30.48,335.27,7.55,168,39, 
100128,NILE00ENP5HE A  2,Nissan,Leaf,Nissan Leaf Electric Hatchback 160kW e+ N-connecta 59kWh 5Dr Auto [propilot Pack,2022,5,Electric,Hatchback,5,Auto,1,217,1,0,0,28200,28200,2538,30172.6,564,33840,24,10000,412.4,0,412.39,41.24,453.63,7.55,36,15000,352.97,0,352.97,35.3,388.27,7.55,239,59, 
100176,TOYA15ICN5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid Icon 5Dr CVT [nav],2022,5,Petrol/Electric Hybrid,Hatchback,5,Auto,1,116,1490,92,57.7,17003.33,17003.33,2550.49,18254.4,0,21130,24,10000,203.29,0,203.29,20.33,223.62,7.55,36,15000,198.55,0,198.56,19.86,218.42,7.55,0,0.7, 
100177,TOYA15GSB5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid GR Sport 5Dr CVT [bi-tone],2022,5,Petrol/Electric Hybrid,Hatchback,5,Auto,1,116,1490,99,57.3,19820,19820,2973,21127.4,0,24510,24,10000,267.27,0,267.26,26.73,293.99,7.55,36,15000,247.02,0,247.03,24.7,271.73,7.55,0,0.7, 
100178,TOYA15GSP5HHIA  5,Toyota,Yaris,Toyota Yaris Hatchback 1.5 Hybrid GR Sport 5Dr CVT,2022,5,Petrol/Electric Hybrid,Hatchback,5,Auto,1,116,1490,99,57.3,19057.5,19057.5,2858.62,20349.65,0,23595,24,10000,244.51,0,244.51,24.45,268.96,7.55,36,15000,231.05,0,231.05,23.11,254.16,7.55,0,0.7, 
