capcode,IDS ID,make,model,deriv,P11D,Rentals in P11D,  
MEEC20LAP2BDTA  3,ME026440,Mercedes,E-Class Cabriolet,E220d 2.0 194 AMG Line Premium Auto 22A,52660,55,
MEEC202NL2CDTA  4,ME026433,Mercedes,E-Class Coupe,E220d 2.0 194hp AMG Line Ned Premium Plus Auto 22A,50809.99,61,
MEEC20LAP2CDTA  4,ME026434,Mercedes,E-Class Coupe,E220d 2.0 194hp AMG Line Premium Auto 22A,48165,61,
MEEC202NL5EDTA  8,ME027026,Mercedes,E-Class Estate,E220d 2.0 Mhev AMG Line Night Edition Prem+ Auto 22A,51400,57,
MEEC202LP5EDTA  8,ME027025,Mercedes,E-Class Estate,E220d 2.0 Mhev AMG Line Premium Auto 22A,48899.99,57,
MEEC2022L5EDTA  8,ME027024,Mercedes,E-Class Estate,E220d 2.0 Mhev AMG Line Auto 22A,46900,57,
MEEC202OS5EDTA  8,ME027019,Mercedes,E-Class Estate,E220d 2.0 Mhev Sport Auto 22A,43900,57,
MEEC202LP4SDTA  8,ME026999,Mercedes,E-Class Saloon,E220d 2.0 Mhev AMG Line Premium Auto 22A,46900,56,
MEEC2022L4SDTA  8,ME026998,Mercedes,E-Class Saloon,E220d 2.0 Mhev AMG Line Auto 22A,44899.99,56,
MEEC202OS4SDTA  8,ME027000,Mercedes,E-Class Saloon,E220d 2.0 Mhev Sport Auto 22A,41899.99,56,
MEEC203NL2BPTA  3,ME026444,Mercedes,E-Class Cabriolet,E300 2.0 258 AMG Line Ned Premium Plus Auto 22A,53910,60,
MEEC20LAP2BPTA  3,ME026443,Mercedes,E-Class Cabriolet,E300 2.0 258 AMG Line Premium Auto 22A,52210,59,
MEEC203NL2CPTA  4,ME026432,Mercedes,E-Class Coupe,E300 2.0 258hp AMG Line Ned Premium Plus Auto 22A,50359.99,67,
MEEC20LAP2CPTA  4,ME026431,Mercedes,E-Class Coupe,E300 2.0 258hp AMG Line Premium Auto 22A,47715,67,
MEEC20LAP2BDTA4 3,ME026448,Mercedes,E-Class Cabriolet,E300d 2.0 265 AMG Line Prem Auto 4MATIC 22A,56260,55,
MEEC203NL2BDTA4 3,ME026449,Mercedes,E-Class Cabriolet,E300d Cbr 2.0 265 AMG LN Ned Prm+ AU 4MC 22A,57960,57,
MEEC203NL2CDTA4 4,ME026438,Mercedes,E-Class Coupe,E300d 2.0 265hp Aln Ned Prm+Au 4 Mtc 22A,54409.99,63,
MEEC20LAP2CDTA4 4,ME026439,Mercedes,E-Class Coupe,E300d 2.0 265hp AMG Line Prem Auto 4MATIC 22A,51765,62,
MEEC203ML5EDTA4 8,ME027034,Mercedes,E-Class Estate,E300d 2.0 Mhev AMG Line Auto 4MATIC 22A,50500,57,
MEEC203MP5EDTA4 8,ME027035,Mercedes,E-Class Estate,E300d 2.0 Mhev AMG Line Prem Auto 4MATIC 22A,52499.99,57,
MEEC203MN5EDTA4 8,ME027036,Mercedes,E-Class Estate,E300d Est 2.0 Mhev Amgln N/E Prm+ AU 4MC 22A,55000,58,
MEEC203ML4SDTA4 8,ME027016,Mercedes,E-Class Saloon,E300d 2.0 Mhev AMG Line Auto 4MATIC 22A,48499.99,56,
MEEC203MP4SDTA4 8,ME027017,Mercedes,E-Class Saloon,E300d 2.0 Mhev AMG Line Prem Auto 4MATIC 22A,50500,56,
MEEC203MN4SDTA4 8,ME027018,Mercedes,E-Class Saloon,E300d Sal 2.0 Mhev Amgln N/E Prm+ AU 4MC 22A,52999.99,57,
MEEC20PPN4SXTA  8,ME027013,Mercedes,E-Class Saloon,E300e 2.0 AMG Line Night Edition Premium Plus Auto 22A,57575,49,
MEEC20LAM4SXTA  8,ME027008,Mercedes,E-Class Saloon,E300e 2.0 AMG Line Auto 22A,53075,48,
MEEC20ALE4SXTA  8,ME027007,Mercedes,E-Class Saloon,E300e 2.0 AMG Line Edition Auto 22A,48765,52,
MEEC20ALM4SXTA  8,ME027009,Mercedes,E-Class Saloon,E300e 2.0 AMG Line Premium Auto 22A,55075,48,
MEEC304NL2BDTA4 3,ME026442,Mercedes,E-Class Cabriolet,E400d 3.0 330 Amg/Ln Ned Premium Plus Auto 4Matic 22A,66160,53,
MEEC304NL2CDTA4 4,ME026430,Mercedes,E-Class Coupe,E400d 3.0 330 Aln Ned Premium Plus Auto 4MATIC 22A,62605,58,
MEEC29PPN5EDTA4 8,ME027029,Mercedes,E-Class Estate,E400d Est 3.0 AMG Line Nt/Ed Prm+ AU 4MC 22A,63194.99,53,
MEEC29ALM5EDTA4 8,ME027031,Mercedes,E-Class Estate,E400d 3.0 AMG Line Prem Auto 4MATIC 22A,60694.99,54,
MEEC29ALM4SDTA4 8,ME027012,Mercedes,E-Class Saloon,E400d 3.0 AMG Line Premium Auto 4MATIC 22A,58695,53,
MEEC29PPN4SDTA4 8,ME027011,Mercedes,E-Class Saloon,E400d 3.0 AMG Line Night Edition Prem+ Auto 4MATIC 22A,61195,54,
MEEC3045N2BPTA4 3,ME026445,Mercedes,E-Class Cabriolet,E450 3.0 367 AMG Line Ned Premium Plus Auto 4Matic 22A,64540,55,
MEEC3045N2CPTA4 4,ME026435,Mercedes,E-Class Coupe,E450 3.0 367hp Aln Ned Premium Plus Auto 4MATIC 22A,60990,59,
MEEC30PPN4SPTA4 8,ME027014,Mercedes,E-Class Saloon,E450 Sal 3.0 Mhev Amgln N/E Prm+ AU 4MC 22A,59554.99,54,
MEEC3053N2BPTA4 3,ME026447,Mercedes,E-Class Cabriolet,E53 3.0 435 AMG Ned Premium Plus Auto 4MATIC+ 22A,75015,52,
MEEC3053 2BPTA4 3,ME026446,Mercedes,E-Class Cabriolet,E53 3.0 435 AMG Premium Auto 4MATIC+ 22A,72514.99,52,
MEEC3053 2CPTA4 4,ME026436,Mercedes,E-Class Coupe,E53 3.0 435hp AMG Premium Auto 4MC+ 22A,67965,55,
MEEC3053N2CPTA4 4,ME026437,Mercedes,E-Class Coupe,E53 Cpe 3.0 435 AMG Nt/Ed Prm+ AU 4MC+ 22A,71465,55,
MEEC3053N5EPTA4 8,ME027021,Mercedes,E-Class Estate,E53 Est 3.0 Mhev AMG N/E Prm+ AU 4MTC+ 22A,71680,52,
MEEC3053 5EPTA4 8,ME027020,Mercedes,E-Class Estate,E53 3.0 Mhev AMG Premium Auto 4MATIC+ 22A,68179.99,53,
MEEC3053N4SPTA4 8,ME027005,Mercedes,E-Class Saloon,E53 Sal 3.0 Mhev AMG N/E Prm+ AU 4MATIC+ 22A,69679.99,51,
MEEC3053 4SPTA4 8,ME027004,Mercedes,E-Class Saloon,E53 3.0 Mhev AMG Premium Auto 4MATIC+ 22A,66180,52,
MEEA00LMA5HE A,ME026457,Mercedes,Eqa,250 Suv 190hp AMG Line Auto 22A,48955,66,
MEEA00ALM5HE A,ME026458,Mercedes,Eqa,250 Suv 190hp AMG Line Premium Auto 22A,51955,65,
MEEA00SPO5HE A,ME026456,Mercedes,Eqa,250 Suv 190hp Sport Auto 22A,47455,65,
MEEA003AL5HE A4,ME026450,Mercedes,Eqa,300 Suv 228hp AMG Line Auto 4MATIC 22A,51454.99,66,
MEEA003LP5HE A4,ME026451,Mercedes,Eqa,300 Suv 228hp AMG Line Prem Auto 4MATIC 22A,54454.99,65,
MEEA000AL5HE A4,ME026453,Mercedes,Eqa,350 Suv 292hp AMG Line Auto 4MATIC 22A,52954.99,67,
MEEA000LP5HE A4,ME026454,Mercedes,Eqa,350 Suv 292hp AMG Line Prem Auto 4MATIC 22A,55954.99,66,
MEEB003AL5EE A4,ME026889,Mercedes,Eqb,300 Suv 228hp AMG Line Auto 4MATIC 22A,53554.99,62,
