Variant,CAP Code,Make,Model,Variant Full Description,Model Year,Doors,Fuel,Body,Seats,Gearbox,Gears,BHP,Eng CC,CO2,Com-bined MPG,Vehicle List Price,Vehicle List Price Including Metallic Paint,Vehicle Total Disc, Vehicle OTR Price,VRB,P11D Price,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,Electric Range,Battery Capacity,RDE2
100091,VACO00ULT5HE A  6,Vauxhall,Corsa,Vauxhall Corsa-e Electric Hatchback 100kW Ultimate 50kWh 5Dr Auto [11kwch],2022,5,Electric,Hatchback,5,Auto,1,136,1,0,0,25337.5,25337.5,253.37,30855.94,0,31105,24,20000,507.85,0,507.85,50.79,558.64,13.65,24,30000,539.11,0,539.11,53.91,593.02,13.65,222,50, 
100092,PS2 009PP5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range SM Pilot/plus 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,231,1,0,0,39208.33,39208.33,784.16,47108.99,0,47995,24,20000,684.73,0,684.73,68.47,753.2,14.7,24,30000,718.39,0,718.39,71.84,790.23,16.45,273,69, 
100093,POTS0039 5EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 350kW 93kWh 5Dr RWD Auto,2022,5,Electric,Estate,4,Auto,2,476,1,0,0,65874.17,65874.17,0,79104,0,79049,24,20000,1102.2,0,1102.19,110.22,1212.41,40.25,24,30000,1194.37,0,1194.36,119.44,1313.8,40.25,259,93.4, 
100094,POTS003955EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 350kW 93kWh 5Dr RWD Auto [5 Seat],2022,5,Electric,Estate,5,Auto,2,476,1,0,0,66154.17,66154.17,0,79440,0,79385,24,20000,1103.11,0,1103.11,110.31,1213.42,40.6,24,30000,1196.08,0,1196.08,119.61,1315.69,40.25,259,93.4, 
100095,POTS004S95EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 420kW 4S 93kWh 5Dr Auto,2022,5,Electric,Estate,4,Auto,2,571,1,0,0,74921.67,74921.67,0,89961,0,89906,24,20000,1188.25,0,1188.25,118.83,1307.08,47.6,24,30000,1297.25,0,1297.25,129.73,1426.98,47.25,259,93.4, 
100096,POTS004955EE A4,Porsche,Taycan,Porsche Taycan Sport Turismo 420kW 4S 93kWh 5Dr Auto [5 Seat],2022,5,Electric,Estate,5,Auto,2,571,1,0,0,75201.67,75201.67,0,90297,0,90242,24,20000,1189.97,0,1189.97,119,1308.97,47.6,24,30000,1298.97,0,1298.97,129.9,1428.87,47.25,259,93.4, 
100097,VACO12GSL5HPIM  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 GS Line 5Dr,2022,5,Petrol,Hatchback,5,Manual,5,75,1199,120,52.3,15454.17,15454.17,386.35,19026.37,0,19245,24,20000,368.11,0,368.12,36.81,404.93,7.7,24,30000,386.75,0,386.75,38.68,425.43,7.55,0,0, 
100099,VACO00GSL5HE A  6,Vauxhall,Corsa,Vauxhall Corsa-e Electric Hatchback 100kW GS Line 50kWh 5Dr Auto [11kwch],2022,5,Electric,Hatchback,5,Auto,1,136,1,0,0,23166.67,23166.67,231.66,26777,0,28500,24,20000,406.49,0,406.48,40.65,447.13,12.6,24,30000,435.33,0,435.33,43.53,478.86,12.6,222,50, 
100100,POMA20T  5EPTA4 2,Porsche,Macan,Porsche Macan Estate T 5Dr PDK,2022,5,Petrol,Estate,5,Semi-auto,7,265,1984,242,28,44975,44975,0,56040,0,53970,24,20000,854.18,0,854.17,85.42,939.59,19.25,24,30000,901.99,0,901.98,90.2,992.18,19.25,0,0, 
100101,JAFP30SP 5EPTA4 1,Jaguar,F-pace,Jaguar F-pace Estate 3.0 P400 Sport 5Dr Auto AWD,2022,5,Petrol,Estate,5,Auto,8,400,2995,226,27.4,54945.83,54945.83,0,68520,0,66450,24,20000,1274.73,0,1274.73,127.47,1402.2,19.25,24,30000,1322.55,0,1322.55,132.26,1454.81,19.25,0,0, 
