CAP CODE,Manufacturer,Model,Variant,Basic List Price
SEIB10XE05HPTA  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 110 Xcellence 5Dr DSG,18241.67
SEIB10XLU5HPTM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 95 Xcellence Lux 5Dr,17829.17
SEIB10XL05HPTM  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 110 Xcellence Lux 5Dr,18041.67
SEIB10XL05HPTA  9,Seat,Ibiza,Seat Ibiza Hatchback 1.0 TSI 110 Xcellence Lux 5Dr DSG,18941.67
BM3M30MCO5EPTA4 1,BMW,X3,BMW X3 M Estate Xdrive X3 M Competition 5Dr Step Auto,71791.67
BM3M30CUM5EPTA4 1,BMW,X3,BMW X3 M Estate Xdrive X3 M Competition 5Dr Step Auto [ultimate],78875
BM4M30MCO5EPTA4 1,BMW,X4 M,BMW X4 M Estate Xdrive X4 M Competition 5Dr Step Auto,73258.33
BM4M30CUM5EPTA4 1,BMW,X4 M,BMW X4 M Estate Xdrive X4 M Competition 5Dr Step Auto [ultimate],80341.67
BM4S2034M2CPTA  1,BMW,4 Series,BMW 4 Series Coupe 430i [245] M Sport 2Dr Step Auto,37175
BM4S2034P2CPTA  1,BMW,4 Series,BMW 4 Series Coupe 430i [245] M Sport 2Dr Step Auto [pro Pack],39258.33
BM4S20ME52CPTA  1,BMW,4 Series,BMW 4 Series Coupe Special Editions 430i [245] M Sport Pro Edition 2Dr Step Auto,40925
BM4S2034M2VPTA  1,BMW,4 Series,BMW 4 Series Convertible 430i [245] M Sport 2Dr Step Auto,41341.67
BM4S2034P2VPTA  1,BMW,4 Series,BMW 4 Series Convertible 430i [245] M Sport 2Dr Step Auto [pro Pack],43258.33
BM4S20ME52VPTA  1,BMW,4 Series,BMW 4 Series Convertible Special Editions 430i [245] M Sport Pro Edition 2Dr Ste,44925
CIST00BE85EE A,Citroen,Space Tourer,Citroen E-space Tourer Electric Estate 100kW Business Edition M [8 Seat] 50kWh 5,25820.83
CIST00BE95EE A,Citroen,Space Tourer,Citroen E-space Tourer Electric Estate 100kW Business Edition M [9 Seat] 50kWh 5,25820.83
CIST00FR85EE A,Citroen,Space Tourer,Citroen E-space Tourer Electric Estate 100kW Flair M [8 Seat] 50kWh 5Dr Auto,38904.17
SMFC00RGE2CE A  3,Smart,Fortwo Coupe,Smart Fortwo Electric Coupe Special Editions 60kW EQ Racing Green Edn 17kWh 2Dr,23033.33
FOTT20LNU4EDTM,Ford,Transit Custom,Ford Transit Custom Diesel Estate 2.0 Ecoblue L2 Nugget 4Dr,58695
DADU10ESS5EPTM  4,Dacia,Duster,Dacia Duster Estate 1.0 TCe 90 Essential 5Dr,11637.5
DADU10COM5EPTM  4,Dacia,Duster,Dacia Duster Estate 1.0 TCe 90 Comfort 5Dr,12887.5
DADU10PRE5EPTM  4,Dacia,Duster,Dacia Duster Estate 1.0 TCe 90 Prestige 5Dr,13887.5
DADU13COM5EPTM  4,Dacia,Duster,Dacia Duster Estate 1.3 TCe 130 Comfort 5Dr,14012.5
DADU13PRE5EPTM  4,Dacia,Duster,Dacia Duster Estate 1.3 TCe 130 Prestige 5Dr,15012.5
DADU13COM5EPTA  4,Dacia,Duster,Dacia Duster Estate 1.3 TCe 150 Comfort 5Dr EDC,15679.17
DADU13PRE5EPTA  4,Dacia,Duster,Dacia Duster Estate 1.3 TCe 150 Prestige 5Dr EDC,16679.17
DADU15COM5EDTM  4,Dacia,Duster,Dacia Duster Diesel Estate 1.5 Blue dCi Comfort 5Dr,14462.5
DADU15COM5EDTM4 4,Dacia,Duster,Dacia Duster Diesel Estate 1.5 Blue dCi Comfort 5Dr 4X4,16345.83
